5.0000500000000005e-06,1.7678354973545114,0.98,0.9626
2.5000750000000004e-06,1.9049991808381814,0.9808,0.9642
1.2500875e-06,1.1522223362729431,0.9787,0.9621
6.2509375e-07,1.5385944937843359,0.9801,0.9654
3.12596875e-07,1.1076740570868295,0.9779,0.966
1.5634843750000002e-07,0.7780731508967819,0.98,0.9652
2.3447265625000003e-07,1.514476424367025,0.9794,0.961
1.95410546875e-07,1.1919805311450884,0.9812,0.9678
1.7587949218750003e-07,1.1007253445747698,0.978,0.964
1.6611396484375004e-07,1.5204763633777867,0.981,0.9631
1.6123120117187504e-07,1.0075293954752562,0.9809,0.967
1.5878981933593754e-07,1.4407893796894393,0.9801,0.9662
1.575691284179688e-07,0.9649711688474023,0.9769,0.9677
1.5817947387695317e-07,1.261560601698891,0.9795,0.9639
1.5787430114746098e-07,1.3716649309709008,0.98,0.9667
1.5772171478271489e-07,1.0669324444822992,0.9808,0.9687
1.5764542160034185e-07,1.3660778743643986,0.9809,0.9647
1.5760727500915532e-07,1.6117500336920638,0.9814,0.9643
1.5758820171356206e-07,1.1668824486027882,0.9795,0.9621
1.5757866506576542e-07,1.1177571889983025,0.9793,0.9674
1.575738967418671e-07,0.881490523531577,0.9796,0.9669
1.5757628090381625e-07,1.1318847307076882,0.9764,0.9638
1.5757508882284167e-07,1.1960320834814513,0.9801,0.9678
1.575744927823544e-07,1.2890190337895262,0.9815,0.9686
1.5757419476211077e-07,0.5469653561159585,0.9815,0.9688
1.5757434377223258e-07,1.0694937080622058,0.9823,0.9675
1.575742692671717e-07,1.3070160751373276,0.9818,0.9691
1.5757423201464123e-07,0.8001655604487428,0.981,0.9666
1.5757425064090646e-07,1.5900940003531525,0.9789,0.965
1.5757424132777383e-07,1.3739327583973602,0.9791,0.9625
1.5757423667120753e-07,1.4861063402603754,0.9807,0.9686
1.5757423434292437e-07,1.220727136509302,0.9801,0.9645
1.575742331787828e-07,1.1665997975345053,0.9812,0.9685
1.57574232596712e-07,0.9866760624544016,0.9777,0.962
1.5757423288774739e-07,1.060480380181961,0.9822,0.9672
1.575742327422297e-07,1.4802189509146695,0.9819,0.9708
1.5757423266947086e-07,1.103834555526652,0.9821,0.9675
1.5757423263309143e-07,0.9714677146611103,0.9797,0.9638
1.5757423265128114e-07,1.3154264631203583,0.9816,0.964
1.575742326421863e-07,1.5422710587811872,0.9775,0.9609
1.5757423263763886e-07,1.2121312852553185,0.9799,0.9653
1.5757423263536513e-07,1.6480356579420823,0.9785,0.9653
1.5757423263422828e-07,1.742802743498706,0.982,0.9651
1.5757423263365984e-07,0.9575430619438347,0.9811,0.9689
1.5757423263394407e-07,0.8948016108563132,0.9816,0.968
1.5757423263408616e-07,1.1833436028827198,0.98,0.9657
1.5757423263401512e-07,1.2257479505490239,0.9813,0.9695
1.575742326339796e-07,1.3604767306008627,0.98,0.9658
1.5757423263396184e-07,1.0180604771702642,0.9809,0.9689
1.5757423263395297e-07,1.3717709788219934,0.982,0.966
